file,rule,redacted,severity,line,context
C:\Users\Dell\Downloads\api_wordlist-master\api_wordlist-master\common_paths.txt,PasswordAssignmentLoose,toke**********cket,Medium,3,/api/v1/account/oauth/token
C:\Users\Dell\Downloads\api_wordlist-master\api_wordlist-master\common_paths.txt,PasswordAssignmentLoose,pass**********ries,Medium,16,/api/v1/account/users/password
C:\Users\Dell\Downloads\api_wordlist-master\api_wordlist-master\common_paths.txt,PasswordAssignmentLoose,pass**********ices,Medium,24,/api/v1/common/users/password
C:\Users\Dell\Downloads\api_wordlist-master\api_wordlist-master\common_paths.txt,HighEntropyString,/api**********rers,Low,27,/api/v1/delta/deviceCatalog/manufacturers
C:\Users\Dell\Downloads\api_wordlist-master\api_wordlist-master\common_paths.txt,HighEntropyString,/api**********heck,Low,33,/api/v1/monitoring/address-check
C:\Users\Dell\Downloads\api_wordlist-master\api_wordlist-master\objects-lowercase.txt,PasswordAssignmentLoose,pass**********word,Medium,111,pass
C:\Users\Dell\Downloads\api_wordlist-master\api_wordlist-master\objects-lowercase.txt,PasswordAssignmentLoose,toke**********kens,Medium,162,token
C:\Users\Dell\Downloads\api_wordlist-master\api_wordlist-master\objects-uppercase.txt,PasswordAssignmentLoose,Pass**********word,Medium,107,Pass
C:\Users\Dell\Downloads\api_wordlist-master\api_wordlist-master\objects-uppercase.txt,PasswordAssignmentLoose,Toke**********kens,Medium,156,Token
C:\Users\Dell\Downloads\api_wordlist-master\api_wordlist-master\objects.txt,PasswordAssignmentLoose,pass**********sses,Medium,1294,pass
C:\Users\Dell\Downloads\api_wordlist-master\api_wordlist-master\objects.txt,PasswordAssignmentLoose,Pass**********word,Medium,1299,Password
C:\Users\Dell\Downloads\api_wordlist-master\api_wordlist-master\objects.txt,PasswordAssignmentLoose,"pwd
**********thon",Medium,1457,pwd
C:\Users\Dell\Downloads\api_wordlist-master\api_wordlist-master\objects.txt,PasswordAssignmentLoose,secr**********rets,Medium,1581,secret
C:\Users\Dell\Downloads\api_wordlist-master\api_wordlist-master\objects.txt,PasswordAssignmentLoose,toke**********docs,Medium,1817,token
C:\Users\Dell\Downloads\Burp_Suite_Professional_-_licensed_to_Yousef_Aalabdulrazzaq (1).txt,HighEntropyString,0zh/**********KQ==,Low,1,0zh/qRyNLUa72Q7tApQsrhf6y9uUn46jYYczCCo8A/CvYAn2zh0uJq9gCfbOHS4mj6NzIKfsuEp4ZF0hDpOn8Kg9fBxVQGBiBhOUvQuiLRI+Gdbi+zRfqarq/VoyFVjBSeN1jXDcOfEkgNe1JfFLg2ouS3zx1c+s6SDViPJU8+CgSxs8P2yGb9OWFa1lbdK2pr3Js2lV
C:\Users\Dell\Downloads\Burp_Suite_Professional_-_licensed_to_Yousef_Aalabdulrazzaq.txt,HighEntropyString,0zh/**********KQ==,Low,1,0zh/qRyNLUa72Q7tApQsrhf6y9uUn46jYYczCCo8A/CvYAn2zh0uJq9gCfbOHS4mj6NzIKfsuEp4ZF0hDpOn8Kg9fBxVQGBiBhOUvQuiLRI+Gdbi+zRfqarq/VoyFVjBSeN1jXDcOfEkgNe1JfFLg2ouS3zx1c+s6SDViPJU8+CgSxs8P2yGb9OWFa1lbdK2pr3Js2lV
C:\Users\Dell\Downloads\CredAudit-0.1.0\credaudit_project\.venv\Lib\site-packages\credaudit-0.1.0.dist-info\direct_url.json,HighEntropyString,/Use**********it-0,Low,1,"{""dir_info"": {""editable"": true}, ""url"": ""file:///C:/Users/Dell/Downloads/CredAudit-0.1.0/credaudit_project""}"
C:\Users\Dell\Downloads\CredAudit-0.1.0\credaudit_project\.venv\Lib\site-packages\lxml-6.0.1.dist-info\licenses\LICENSES.txt,HighEntropyString,src/**********htrn,Low,28,   src/lxml/isoschematron/resources/xsl/RNG2Schtrn.xsl and
